Ranking diari,Audiencia,Cadena,Dia,Mes,Any
545,"0,1%",real-madrid-tv,21,01,2019
546,"18,3%",telecinco,22,01,2019
547,"14,9%",antena3,22,01,2019
548,"8,8%",la1,22,01,2019
549,"8,1%",lasexta,22,01,2019
550,"4,6%",cuatro,22,01,2019
551,"2,6%",la2,22,01,2019
552,"2,3%",nova,22,01,2019
553,"2,3%",fdf,22,01,2019
554,"2,0%",energy,22,01,2019
555,"1,9%",13tv,22,01,2019
556,"1,9%",neox,22,01,2019
557,"1,9%",paramountchannel,22,01,2019
558,"1,5%",discoverymax,22,01,2019
559,"1,5%",clan,22,01,2019
560,"1,5%",mega-espana,22,01,2019
561,"1,4%",divinity,22,01,2019
562,"1,1%",canal24horas,22,01,2019
563,"1,1%",atreseries,22,01,2019
564,"0,8%",disney-channel,22,01,2019
565,"0,8%",boing,22,01,2019
566,"0,6%",dkiss,22,01,2019
567,"0,5%",gol-television,22,01,2019
568,"0,4%",teledeporte,22,01,2019
569,"0,4%",bemadtv,22,01,2019
570,"0,3%",ten,22,01,2019
571,"0,2%",real-madrid-tv,22,01,2019
572,"15,3%",telecinco,23,01,2019
573,"14,3%",antena3,23,01,2019
574,"10,5%",la1,23,01,2019
575,"8,3%",lasexta,23,01,2019
576,"4,3%",cuatro,23,01,2019
577,"3,0%",la2,23,01,2019
578,"2,4%",neox,23,01,2019
579,"2,3%",nova,23,01,2019
580,"2,3%",fdf,23,01,2019
581,"2,1%",energy,23,01,2019
582,"1,9%",13tv,23,01,2019
583,"1,9%",paramountchannel,23,01,2019
584,"1,6%",gol-television,23,01,2019
585,"1,5%",clan,23,01,2019
586,"1,5%",discoverymax,23,01,2019
587,"1,4%",mega-espana,23,01,2019
588,"1,4%",divinity,23,01,2019
589,"1,2%",atreseries,23,01,2019
590,"1,1%",canal24horas,23,01,2019
591,"1,0%",boing,23,01,2019
592,"0,8%",disney-channel,23,01,2019
593,"0,7%",dkiss,23,01,2019
594,"0,5%",teledeporte,23,01,2019
595,"0,5%",bemadtv,23,01,2019
596,"0,4%",ten,23,01,2019
597,"0,2%",real-madrid-tv,23,01,2019
598,"18,3%",telecinco,24,01,2019
599,"14,1%",antena3,24,01,2019
600,"9,6%",la1,24,01,2019
601,"8,6%",lasexta,24,01,2019
602,"4,1%",cuatro,24,01,2019
603,"2,3%",neox,24,01,2019
604,"2,1%",fdf,24,01,2019
605,"2,1%",la2,24,01,2019
606,"1,9%",nova,24,01,2019
607,"1,9%",13tv,24,01,2019
608,"1,9%",energy,24,01,2019
609,"1,8%",paramountchannel,24,01,2019
610,"1,6%",clan,24,01,2019
611,"1,4%",discoverymax,24,01,2019
612,"1,3%",mega-espana,24,01,2019
613,"1,2%",canal24horas,24,01,2019
614,"1,1%",atreseries,24,01,2019
615,"1,1%",divinity,24,01,2019
616,"0,8%",disney-channel,24,01,2019
